#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  99000      1.07e+00      2.28e-03      1.06e-01    9.3e-04
 100000      1.04e+00      2.90e-03      9.96e-02    9.3e-04
 101000      7.65e-01      1.65e-03      7.60e-02    9.3e-04
 102000      1.35e+00      7.33e-03      9.55e-02    9.3e-04
 103000      9.98e-01      3.97e-04      1.03e-01    9.3e-04
 104000      8.78e-01      8.34e-04      8.98e-02    9.3e-04
 105000      9.31e-01      1.78e-04      9.68e-02    9.2e-04
 106000      7.00e-01      6.61e-04      7.23e-02    9.2e-04
 107000      8.38e-01      2.86e-03      7.78e-02    9.2e-04
 108000      1.08e+00      3.42e-03      1.01e-01    9.2e-04
 109000      1.76e+00      1.18e-02      8.23e-02    9.2e-04
 110000      3.30e-01      1.72e-03      3.08e-02    9.2e-04
 111000      2.50e+00      8.15e-04      2.60e-01    9.2e-04
 112000      1.12e+00      1.11e-03      1.15e-01    9.2e-04
 113000      2.08e+00      5.59e-03      2.02e-01    9.2e-04
 114000      2.19e+00      4.94e-03      2.18e-01    9.2e-04
 115000      8.55e-01      1.33e-04      8.93e-02    9.2e-04
 116000      7.80e-01      7.07e-04      8.09e-02    9.2e-04
 117000      1.04e+00      6.06e-04      1.08e-01    9.2e-04
 118000      1.22e+00      4.63e-03      1.09e-01    9.2e-04
 119000      8.04e-01      2.00e-03      7.93e-02    9.2e-04
 120000      6.19e-01      4.02e-03      5.39e-02    9.1e-04
 121000      1.65e+00      1.32e-02      1.26e-01    9.1e-04
 122000      1.24e+00      3.09e-03      1.16e-01    9.1e-04
 123000      7.68e-01      8.05e-04      7.96e-02    9.1e-04
 124000      9.40e-01      6.68e-04      9.76e-02    9.1e-04
 125000      8.26e-01      1.54e-03      8.15e-02    9.1e-04
 126000      9.43e-01      1.98e-03      9.50e-02    9.1e-04
 127000      7.73e-01      8.24e-04      8.03e-02    9.1e-04
 128000      6.92e-01      1.11e-03      7.10e-02    9.1e-04
 129000      4.56e-01      3.67e-04      4.77e-02    9.1e-04
 130000      9.43e-01      2.26e-03      9.39e-02    9.1e-04
 131000      9.35e-01      2.74e-03      9.51e-02    9.1e-04
 132000      8.92e-01      1.30e-03      9.04e-02    9.1e-04
 133000      8.70e-01      1.07e-04      9.14e-02    9.1e-04
 134000      1.25e+00      7.57e-03      7.92e-02    9.1e-04
 135000      7.64e-01      1.36e-03      7.81e-02    9.0e-04
 136000      1.82e+00      1.39e-03      1.90e-01    9.0e-04
 137000      1.51e+00      4.76e-03      1.45e-01    9.0e-04
 138000      7.67e-01      1.20e-03      7.75e-02    9.0e-04
 139000      4.25e-01      3.34e-03      3.34e-02    9.0e-04
 140000      1.07e+00      6.37e-05      1.13e-01    9.0e-04
 141000      2.51e-01      2.33e-03      1.62e-02    9.0e-04
 142000      1.03e+00      4.46e-03      8.81e-02    9.0e-04
 143000      7.70e-01      7.55e-04      8.05e-02    9.0e-04
 144000      1.00e+00      1.54e-03      1.04e-01    9.0e-04
 145000      2.33e+00      2.73e-02      3.37e-02    8.9e-04
 146000      5.58e-01      2.13e-03      5.58e-02    8.9e-04
 147000      6.66e-01      4.41e-05      7.04e-02    8.9e-04
 148000      9.62e-01      2.94e-03      9.29e-02    8.9e-04
 149000      7.33e-01      5.42e-04      7.67e-02    8.9e-04
 150000      9.72e-01      3.80e-03      8.79e-02    8.9e-04
 151000      9.34e-01      1.13e-03      9.77e-02    8.9e-04
 152000      9.35e-01      1.54e-03      9.66e-02    8.9e-04
 153000      2.16e+00      2.73e-03      2.23e-01    8.9e-04
 154000      7.58e-01      1.53e-03      7.74e-02    8.9e-04
 155000      9.51e-01      3.44e-03      7.69e-02    8.9e-04
 156000      1.68e+00      6.27e-03      1.69e-01    8.9e-04
 157000      3.47e-01      7.58e-04      3.62e-02    8.9e-04
 158000      8.05e-01      2.61e-03      7.71e-02    8.9e-04
 159000      7.36e-01      1.75e-03      7.41e-02    8.9e-04
 160000      8.24e-01      3.94e-03      6.78e-02    8.8e-04
 161000      1.03e+00      2.52e-03      1.04e-01    8.8e-04
 162000      8.98e-01      4.08e-04      9.53e-02    8.8e-04
 163000      9.50e-01      5.49e-04      1.01e-01    8.8e-04
 164000      6.13e-01      8.32e-04      6.33e-02    8.8e-04
 165000      1.36e+00      1.04e-03      1.44e-01    8.8e-04
 166000      6.68e-01      2.37e-03      6.27e-02    8.8e-04
 167000      8.54e-01      7.74e-04      9.02e-02    8.8e-04
 168000      6.01e-01      6.41e-05      6.40e-02    8.8e-04
 169000      6.65e-01      2.68e-03      6.04e-02    8.8e-04
 170000      3.97e+00      1.28e-03      4.23e-01    8.8e-04
 171000      7.35e-01      1.62e-03      7.51e-02    8.8e-04
 172000      8.91e-01      3.18e-03      8.39e-02    8.8e-04
 173000      8.20e-01      4.88e-04      8.72e-02    8.8e-04
 174000      9.54e-01      2.63e-03      9.48e-02    8.8e-04
 175000      2.23e+00      6.89e-03      2.18e-01    8.7e-04
 176000      8.36e-01      2.52e-04      8.93e-02    8.7e-04
 177000      8.27e-01      1.98e-03      8.38e-02    8.7e-04
 178000      6.24e-01      2.06e-04      6.67e-02    8.7e-04
 179000      6.42e-01      2.47e-03      5.95e-02    8.7e-04
 180000      7.87e-01      1.09e-03      8.29e-02    8.7e-04
 181000      6.29e-01      8.71e-04      6.62e-02    8.7e-04
 182000      7.43e-01      2.51e-03      7.16e-02    8.7e-04
 183000      7.05e-01      7.57e-04      7.48e-02    8.7e-04
 184000      1.80e+00      1.23e-02      8.63e-02    8.7e-04
 185000      6.60e-01      1.62e-03      6.72e-02    8.7e-04
 186000      1.88e+00      4.40e-04      2.01e-01    8.7e-04
 187000      1.19e+00      1.55e-03      1.26e-01    8.7e-04
 188000      4.66e-01      5.02e-03      2.20e-02    8.7e-04
 189000      5.52e-01      6.74e-05      5.92e-02    8.7e-04
 190000      9.46e-01      1.61e-03      9.92e-02    8.6e-04
 191000      1.85e+00      1.30e-03      1.98e-01    8.6e-04
 192000      7.39e-01      1.30e-03      7.73e-02    8.6e-04
 193000      2.42e-01      3.14e-04      2.58e-02    8.6e-04
 194000      6.63e-01      8.14e-04      7.03e-02    8.6e-04
 195000      1.87e+00      1.92e-03      2.00e-01    8.6e-04
 196000      7.72e-01      1.78e-04      8.30e-02    8.6e-04
 197000      6.32e-01      1.29e-03      6.56e-02    8.6e-04
 198000      8.22e-01      9.41e-03      2.73e-02    8.6e-04
 199000      7.55e-01      1.80e-04      8.13e-02    8.6e-04
 200000      7.58e-01      2.88e-03      7.15e-02    8.6e-04
 201000      1.02e+00      1.62e-03      1.08e-01    8.6e-04
 202000      7.23e-01      1.90e-03      7.33e-02    8.6e-04
 203000      1.14e+00      2.69e-03      1.12e-01    8.6e-04
 204000      7.55e-01      1.23e-03      7.97e-02    8.6e-04
 205000      6.71e-01      1.24e-03      6.85e-02    8.5e-04
 206000      6.31e-01      9.34e-04      6.69e-02    8.5e-04
 207000      9.20e-01      6.59e-04      9.91e-02    8.5e-04
 208000      6.38e-01      8.63e-04      6.79e-02    8.5e-04
 209000      7.28e-01      7.53e-03      4.07e-02    8.5e-04
 210000      6.52e-01      2.95e-04      7.04e-02    8.5e-04
 211000      1.44e+00      2.44e-03      1.52e-01    8.5e-04
 212000      6.59e-01      2.16e-03      6.47e-02    8.5e-04
 213000      7.57e-01      2.45e-03      7.45e-02    8.5e-04
 214000      6.48e-01      1.86e-03      6.51e-02    8.5e-04
 215000      2.29e+00      1.87e-03      2.46e-01    8.5e-04
 216000      6.33e-01      2.15e-03      5.52e-02    8.5e-04
 217000      1.05e+00      2.29e-03      1.09e-01    8.5e-04
 218000      6.33e-01      3.40e-04      6.85e-02    8.5e-04
 219000      8.26e-01      7.38e-04      8.85e-02    8.5e-04
 220000      3.97e+00      8.13e-03      4.25e-01    8.4e-04
 221000      2.72e+00      1.52e-03      2.94e-01    8.4e-04
 222000      7.67e-01      2.33e-03      7.67e-02    8.4e-04
 223000      7.57e-01      3.25e-04      8.22e-02    8.4e-04
 224000      3.51e-01      3.44e-03      2.26e-02    8.4e-04
 225000      5.95e-01      6.87e-03      2.08e-02    8.4e-04
 226000      2.10e+00      4.11e-03      2.15e-01    8.4e-04
 227000      5.74e-01      1.54e-04      6.25e-02    8.4e-04
 228000      6.07e-01      6.45e-04      6.50e-02    8.4e-04
 229000      2.49e+00      5.85e-04      2.72e-01    8.4e-04
 230000      6.36e-01      4.78e-04      6.91e-02    8.4e-04
 231000      1.29e+00      5.59e-03      1.17e-01    8.4e-04
 232000      6.80e-01      1.11e-03      7.26e-02    8.4e-04
 233000      1.05e+00      1.39e-03      1.13e-01    8.4e-04
 234000      8.92e-01      4.75e-03      7.16e-02    8.4e-04
 235000      9.69e-01      2.59e-05      1.06e-01    8.3e-04
 236000      1.53e+00      4.56e-04      1.67e-01    8.3e-04
 237000      5.85e-01      6.53e-04      6.33e-02    8.3e-04
 238000      1.74e+00      1.93e-02      7.97e-02    8.3e-04
 239000      1.16e+00      6.44e-03      9.04e-02    8.3e-04
 240000      1.31e+00      1.38e-03      1.42e-01    8.3e-04
 241000      2.35e-01      7.44e-05      2.57e-02    8.3e-04
 242000      2.22e+00      7.72e-03      1.93e-01    8.3e-04
 243000      5.78e-01      8.00e-04      6.15e-02    8.3e-04
 244000      7.12e-01      2.02e-03      7.28e-02    8.3e-04
 245000      4.50e-01      2.97e-04      4.93e-02    8.3e-04
 246000      8.09e-01      3.91e-03      6.96e-02    8.3e-04
 247000      7.15e-01      3.46e-03      6.19e-02    8.3e-04
 248000      6.75e-01      2.06e-03      6.83e-02    8.3e-04
 249000      6.04e-01      1.87e-04      6.63e-02    8.3e-04
 250000      6.11e-01      5.36e-04      6.68e-02    8.3e-04
 251000      7.81e-01      2.16e-05      8.59e-02    8.3e-04
 252000      7.52e-01      1.95e-03      7.81e-02    8.3e-04
 253000      6.50e-01      9.58e-05      7.15e-02    8.3e-04
 254000      8.18e-01      1.06e-03      8.76e-02    8.3e-04
 255000      1.02e+00      7.83e-04      1.12e-01    8.2e-04
 256000      9.59e-01      3.77e-03      9.18e-02    8.2e-04
 257000      2.76e-01      8.75e-05      3.04e-02    8.2e-04
 258000      6.87e-01      3.38e-03      5.95e-02    8.2e-04
 259000      1.07e+00      1.77e-03      1.17e-01    8.2e-04
